University/College,Ratings,Reviews,Source
ISME,5.0,The course subjects are very relevant and the ACCA course is partnered with ISTC. The faculty is outsourced for ACCA. The curriculum prepares you for the real corporate world and prepares you for their expectations and tasks There is no area for improvement as everything is as per requirements.,Collegedunia
"Bhagalpur College of Engineering, Bhagalpur",3.1,"Affordable college, average campus & placements. Infrastructure is average, with a large green campus. Hostels for juniors are decent, but older buildings and labs need upgrades. Classrooms are basic, and WiFi is slow. Overall, facilities are functional but not modern. Academics are decent, with qualified faculty and a structured syllabus. Some teachers explain well, but overall teaching quality is average. Students often rely on self-study and online resources to understand concepts better. Placements are average, with limited companies visiting campus. The average package ranges around Ã¢ÂÂ¹3Ã¢ÂÂ5 LPA, and many students depend on off-campus opportunities. Strong skills and self-preparation are important for better job chances.",Career360
"Keshav Mahavidyalaya, Delhi",3.8,"Good college for computer science The infrastructure is overall good. The college has labs, ground, air conditioned auditorium, amphitheatre, wifi etc. but it is not well maintained. Specially the labs, systems are in very bad condition and most of them do not work. Also, there is a hospital adjacent to college which is a very good thing for the students of the college. The faculty is well qualified, supportive and knowledgeable. The curriculum is well updated, specially in computer science department, teachers are good and follow a good style of teaching. Students are also encouraged to do project work and extra curricular activities. The placements are decent, and can be better as compared to other DU colleges. Many companies come for placement but I think there should be more opportunities and exposure for the students. The average package it also not very good as compared to the coursework.",Career360
"Tapasya College of Commerce and Management, Hyderabad",3.9,"My experience at Tapasya was good overall. Tapasya College infrastructure is decent with AC classrooms , computer labs , and a library. Classrooms are spacious and well maintained, but facilities like hostel and canteen vary by branch ........ Tapasya College academics are good with supportive faculty and clear teaching . The curriculum focuses on commerce and management , helping students understand concepts and pass exams easily, though . Placement opportunities at Tapasya are average. Some students get internships , entrylevel jobs in sales,marketing,finance.Howeve ,top companies rarely visit,many students must find jobs on their own. Overall, Tapasya is a decent college for commerce and management students. It offers supportive faculty, basic infrastructure,and opportunities for activities. Students who stay focused can gain good.",Career360
"RNS Institute of Technology, Bangalore",2.4,This review is useless since it is not written by choice. their constructing all the time. computers are fine. classrooms are fine This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. not all the teachers teach well. to each their own This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. no idea. Ai is anyways gonna get the best of you This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice. This review is useless since it is not written by choice.,Career360
VIT Bhopal,4.3,The main annular fest for VIT bhopal is adVITya which is held in late February every year . It is a mega event with proshows and events organized by all different 100+ clubs and every month several events are organized by different clubs The central library of VIT bhopal offers a huge variety of books ranging from daily magzines to academic books and even comic books There are several sports which are played on campus and there are many competition across several sports whi h are held during this time period which for co curricular activities there are 100+ clubs like drama club and regional clubs which organize events . All clubs are run and functioned by students only with a faculty coordinator they play an important role in college life as it teaches professionalism and teamwork.,Collegedunia
"Fakir Mohan Autonomous College, Balasore",3.5,"Giving a review for my college is very good experience My college have all the necessary infrastructure, facilities and equipments. Our college have separate blocks for different courses/streams, laboratories, libraries, boys common room, girls common room, sports center, wifi, smart boards all facilities are available and are in working condition. A big ground for sports and other activities and canteen available. Now I'm pursuing my MBA because during my graduation I realised that my interest and goals are more align with business and management studies, so I prefer MBA. And I found that our college offers a MBA degree with a fair course fee with all necessary facilities. Teaching techniques are really good, apart from the syllabus teacher helps for building soft skills which makes us job ready. Students from our college get placed in different jobs every year. Students joins various companies after a campus visit which are conducted by our college. Otherwise our college gives the essential training and suppliments for crack interview.",Career360
"Megha Women's Degree College, Hyderabad",3.7,"Good academics with supportive faculty The college infrastructure is decent and well-maintained. There are spacious Classrooms , Computer labs, and a library with good resources. Digital learning facilities and seminar halls are also available. The campus is clean and provides a safe environment for students. However, infrastructure is basic and not very advanced compared to top colleges. Academics are one of the strong points of the college. Faculty members are experienced , friendly, and supportive. They explain concepts clearly and give personal attention to students. Teachers also help beyond the syllabus and focus on improving student performance. Regular tests and skill development programs are conducted. Placements are good for a degree college and improving. Around 70-80% of students get placement opportunities in some courses, with average packages around 2-4Lpa.Companies like TCS, Cognizant, and other firms visit the campus. The college also provides training in aptitude and communication skills to prepare students for interviews. 4.2/5 Good acedemics with decent placement and support",Career360
SVSU Meerut,3.7,"The course was quite comprehensive and relevant. They covered all the fields of life sciences in depth- molecular biology, recombinant DNA technology (RDT), microbiology, biostatistics, instrumentation, and immunology, among others. The combination of both foundational and applied topics was the whole reason I chose the course at SVSU. In terms of preparationfor the real world applications, the curriculum does a great job in building clarity and founding strong concepts. For students aiming to prepare for GATE, NET, and higher research projects to delve into, the syllabus provides a strong foundation. Regarding improvements, the lab work could be more one-on-one rather than a bulk implementation, and more hands-on experience needs to be added to the course in comparison to the theoretical knowledge. Speaking of the examination pattern, it works in semesters, with the first one occurring in December, then around April, and the last one around June-July. Other than that, there are internal tests held bimonthly and project submissions before the examination session.",Collegedunia
"St Johns College, Agra",3.8,This is affordable or good collage This collage has very nice building .it's has so many classroom and the infrastructure is really good. And this collage has a canteen and there is maintaining class rooms and the building or our clg is good . The study material and faculty of our collage is maintaining a good or decent faculty and it's give the good knowledge and the help in enhance the achievement that help to growth in our life and our future . The placements in this collage are really good for the growth of students to enhance their productivity and also this collage gives really good package that students wants for their improvement and skills The overall good,Career360
"Dera Natung Government College, Itanagar",3.0,"Relaxed The infrastructural facilities are average. The classrooms and facilities are basic. Some facilities are well maintained, but some are outdated and need improvement. The campus is green and peaceful but lacks modern facilities. The academics are decent enough. The curriculum is quite standard. Some teachers are good in terms of support and knowledge. However, there is less emphasis on practical knowledge. The focus is more on theory. Students need to do their own study to gain in-depth knowledge. The placement facilities are very low, almost negligible. There are no regular company visits. This college can be chosen if students want to pursue higher studies. This college may not be the right choice if students are expecting placement facilities.",Career360
Mumbai University,0.5,"I opted for this college because I saw that an integrated course of Management with MBA is available. I don't like anything about this college. It's the worst. Teachers are biased in every possible way, that is from checking papers to treating children. Campus hygiene is the worst. Toilets are not maintained. Cafeteria is not clean. Classrooms aren't cleaned properly. Lift of college is in repair since the past 4-5 years. College admin is not at all cooperative and don't entertain students much. Any work in the admin will take around a month minimum and can go on for months. There is no placement system in the college. It is there but still no company has ever come in our college for placements. It feels like there is no future in this college. Honestly speaking, every student feels like they are eating their 5 years (3 years grad + 2 years post grad) of life here. I personally want to just get out of this college asap and do something else. I can leave but I am in it just for the degree now. The teaching is also not good. Computer lab's AC vents have stopped working and are infested with rats. There are pigs, snakes, dogs and what not on the campus. Even the water purifier gives stinking water sometimes. The list is very long but I guess, this much is more than sufficient to guess that the college is in such a pathetic condition. The director of the college is very.idk what to say. I don't have words for her. There's not a single good point I have about her. She doesn't know English for god sake.",Collegedunia
"Rajkiya Engineering College, Mainpuri",3.5,"the placement rate is very low. in my college the classroom are fully average infrastructure maintain but the laboratory are maintain hygiene. in my college the facilities about teaching is average. the main building of our college is looking good. Academics of my college permanenet faculty is about good but there is need to improvement in guest faculty. the quality of teaching is good. the curriculam of study is good but in also need improvement in this area of study. in my college the placement is poor. No one any big company like microsoft, google wanna visit our college. their is very low placement rate like 20%. Many student depend upon gate. IN my college many student got 3lpa \ 2lpa.",Career360
"Kalinga Institute of Industrial Technology, Bhubaneswar",4.0,"This is the best university if you want placement and enjoy College infrastructure is very good and it is more than expected Keeping everything beside.I like the library most which has a rest number of books. The college wi fi and all the networks are very good. The immunities beside the university is also good The best thing of this university is the staff who are very student friendly and well knowledgeable. Call the students are well-trained and teaches very good.And helps the students today in knowledge in other skills , also Our college provides very good placements.Most of these students are satisfied with their placements.The highest package is 52 LPA.And the lowest Package is 12Lpa. Ninety percent of the students are placed and refreshment and training sell works so that it cheese hundred percent placement rate.",Career360
"Tapasya College of Commerce and Management, Hyderabad",3.5,"I had a good time with college college infrastructure is well-maintained with spacious classrooms, modern labs, a well-stocked library, and clean surroundings. It provides a comfortable and conducive environment for effective learning. college offers strong academics with experienced faculty, a well-structured curriculum, and regular assessments. It promotes critical thinking and provides good support for overall student learning and success. college respects student preferences by offering flexible course choices, supportive faculty guidance, and opportunities to explore interests. It helps students shape their academic path based on their goals.",Career360
BGS College of Engineering and Technology Bangalore,5.0,"I am currently paying Rs 2,00,000 per year as the total academic fee for my course 1st year: Rs 200000, 2nd year : Rs 200000 , 3rd year : Rs 300000 total fees for complete course (4 years): Rs 8,00,000 As of now the fees have remained the same for my batch. However, the college generally revises the fee structure slightly for upcoming batches. The Rs 2,00,000 yearly fee includes: Tuition Fees: Rs 1,50,000 Development Fees: Rs 20,000 Lab Fees : 10,000 Registration Fees : Rs 5000 Other Compulsory Charges: Rs 10,000 Caution Deposit : Rs 5000",Collegedunia
"Indian Institute of Hotel Management and Culinary Arts, Hyderabad",3.8,"Highly Recommend this college The campus of IIHMCA is neat, well-organized, and excellently maintained, providing a pleasant and conducive environment for learning. The classrooms are modern and comfortable, enabling students to concentrate effectively during lectures. The institute boasts state-of-the-art practical laboratories and professional training kitchens equipped with advanced tools and equipment similar to those used in the industry. Additionally, the cafeteria maintains excellent hygiene standards and serves good-quality food to students. The academic curriculum at the Indian Institute of Hotel Management and Culinary Arts strikes an ideal balance between theoretical knowledge and hands-on practical training. Students not only grasp important concepts in the classroom but also get ample opportunities to apply them in specialized training kitchens and hospitality service areas. The faculty members are highly knowledgeable, experienced, and supportive, mentoring students to develop the essential professional skills required in the dynamic hospitality industry. IIHMCA offers robust placement support to its students. Leading hotels and reputed hospitality organizations regularly visit the campus for recruitment. Apart from final placements, the institute also facilitates valuable internships in renowned hotels, allowing students to gain real-world exposure and build confidence before stepping into the professional world.",Career360
"Geeta Institute of Law, Panipat",3.8,Geeta institue of aw is excellnt in their law field. geeta instittue of law is excellent in their law field. infrastructure at geeta Instiute of law is excellent and more comfortable. they have modern and smart classrooms also have hi-tech and smart features like digital boards. My academic experience at geeta institute of law is excellent. overall they have much better features in their academics. they have much better facilities. overall everything is excellent at geeta institute of law. Placememt cell at geeta institute of law is properly active for students. they help students to get industry ready for their better future. they provide better future with a decent average pacakage with a better opportunity at reputable post. Geeta institute of law is excellent in their field.,Career360
"RNS Institute of Technology, Bangalore",4.4,"very good experience about college. good memories to carry . In RNSIT,the ECE department provides a good learning environment. with supportive faculty and well structured courses. The ECE department creates a motivating environment to students and grow in the field of electronics and communication. In RNSIT, good infrastructure, good academic syllabus, since it is autonomous the syllabus framed is in well structured manner. company oriented subjects. updated syllabus. good labratory infrasture . In RNSIT, we have good placements. nearly most of the companies recruit students. provides good placement training. online tests will conducted regularly for the placements. good infrastructure, good companies visit.",Career360
"Dhanalakshmi College of Engineering, Chennai",4.0,"good experience for the academics our campus infrastructure are good for all department and seperate block for all department and well maintained campus , the security camera that all available on 24hrs on the camous live the security has done their job the campus also very good teching staff and practicall laboraties, and the college alos suipports sports and extracurricular activities such as cricket and foodball and in conculsion the campus is supportive done. dce campus having an seperate cell for the placement cell, more campanies that qualifiy for the campus placement in our college normally begin form the 7th semester. the student who have good academic.",Career360
"Rajkiya Engineering College, Mainpuri",3.0,"My experience is good ???? Rajkiya Engineering College Mainpuri provides basic infrastructure and facilities required for academic activities. The campus has classrooms, laboratories, a gym, and Wi-Fi facilities for students. There are four hostels in the collegeÃ¢ÂÂthree for boys and one for girls. However, the hostel facilities need improvement as students sometimes face water supply issues. The campus environment is quiet because the college is located about 10 km away from the city. One area that needs attention is campus cleanliness and infrastructure maintenance, as garbage can sometimes be seen around the campus and some facilities are not well maintained. The college administration is working to improve these conditions. Rajkiya Engineering College Mainpuri provides the necessary academic infrastructure for engineering education. The college has well-equipped classrooms and laboratories that support practical and theoretical learning. The institution offers five engineering branches: Computer Science and Engineering, Electrical Engineering, Civil Engineering, Mechanical Engineering, and Information Technology. The professors are knowledgeable and supportive, helping students understand their subjects effectively, although some faculty members are strict about completing the semester syllabus on time. Overall, the academic environment of the college supports learning and skill development for students. Rajkiya Engineering College Mainpuri provides placement opportunities for students through campus recruitment drives. Most of the campus placements are secured by students from the Mechanical Engineering and Electrical Engineering branches. Companies visit the campus to recruit students based on their skills and academic performance. However, placement opportunities for some other branches are comparatively limited. Overall, the college is working to improve placement opportunities for all branches",Career360
"Shri Jayantilal Hirachand Sanghvi Gujarati Innovative College of Commerce and Science, Indore",4.0,"College very good for academics and their infrastructure. Infrastructure of the college was good very specials with the good facilities and their have all the basic facilities like drinking water, canteen, Wi-Fi etc. overall the infrastructure support students for their daily uses. Academics of the college is very nice all the teachers explain the topics in detail with practical and theoretical knowledge. Also the staff are very supportable. The environment is very student friendly. So the college price to bring different companies to the campus for placement with also good packages. But student itself have to work on there skills so they can gain a good amount of package from the college.",Career360
"Sathyabama Institute of Science and Technology, Chennai",3.4,Giving a review to my college is quite good experience. The college infrastructure is warm and welcome and everyone will definitely like the college the college will have Library where we will get what we want either academics or any other related to engineering. The academics are related to engineering and who excels in academics will get scholarships 10% in the college fees. And you can conduct multiple events when you are in the college and for that they will get OD. The average package is 6LPA and highest package is 41.2LPA based on this we can conclude the placements and the advancing thing is we can learn more skills including with normal academics and for obtaining skill they will get high paying jobs. Good to join in this college.,Career360
"Hindu College, Moradabad",3.1,"Supportive campus with strong academics and activities Hindu College has a fairly decent infrastructure for its students. The classrooms are well-spaced and ventilated, providing a comfortable environment for learning. The library is stocked with a good collection of books and reference materials for various courses, though it could be updated with more recent editions in some subjects. The campus has basic computer labs and labs for practical subjects, which are functional and serve the studentsÃ¢ÂÂ needs adequately. The college also has proper seating and study areas for students outside of class hours. Canteen and common areas are clean and accessible, giving students space to relax between lectures. While the campus is not very large compared to big universities, it is well-organized and easy to navigate. Overall, the infrastructure is sufficient for academic and co-curricular activities, though there is room for modernization in some areas. I completed my MA in Economics from Hindu College in 1999. The quality of teaching was excellent, with professors being knowledgeable, approachable, and always ready to clarify doubts. The curriculum was well-structured and covered the theoretical and practical aspects of economics thoroughly. The college encouraged analytical thinking and discussions, which helped us understand real-world economic issues better. Assignments, seminars, and occasional workshops added value to our learning. Overall, the academic environment was supportive, and I feel it prepared me well for my career after graduation. During my time at Hindu College, formal placement support was limited, as the focus back then was primarily on academics. Most students found opportunities through personal networking, referrals, and campus announcements. Several alumni secured positions in banks, government departments, and educational institutions after graduation. The college encouraged internships and practical exposure where possible, which helped students build relevant skills for the job market. While there was no dedicated placement cell like in modern times, the faculty were supportive and guided students individually about career options and competitive exams. Overall, the placement experience was adequate for the time, and proactive students were able to leverage the collegeÃ¢ÂÂs academic reputation and alumni network to find good opportunities. Hindu College provides a strong academic foundation and a supportive environment. Students get opportunities to participate in cultural, co-curricular, and academic activities, making it a well-rounded experience.",Career360
"Devi Ahilya Vishwavidyalaya, Indore",2.9,Infrastructure should be improved. Infrastructure is not that ok because when I used to study it was a ok-ok experience for me when I had to walk too much to the canteens and the cafe and the college building quality was very bad walls were a little bit cracked benches were rusty. The way in which teacher use to teach is is the old method and their teaching is not up to date they have quite rude behaviour towards the students and they are not easy to approach if you have any doubt. The placements from this college are alright and many students got placed into different companies while some didn't because they only did bachelors many companies approached but the didn't pick the bachelors student as compared to the masters once.,Career360
"SAM Global University, Bhopal",3.2,"Good experience The college infrastructure is decent and properly maintained. Classrooms are well arranged with modern teaching aids that help in better understanding during lectures. The labs and library provide useful resources for academic work and research. Students also have access to sports facilities for activities and relaxation. The hostel environment is fairly good, with clean rooms and acceptable hygiene in the mess food. Provide this review mix with some negative things The college infrastructure is generally decent and properly maintained, but there is still room for improvement. Classrooms are well arranged and equipped with modern teaching aids, which help in better understanding during lectures, although sometimes the maintenance of these facilities can be inconsistent. From my experience as a student here, the academic atmosphere is generally positive and encourages learning. The teachers are cooperative and often explain concepts clearly with practical examples, which makes understanding easier. The course structure is fairly updated and covers important subjects that help build useful knowledge and skills for future careers. However, at times the teaching pace can feel uneven, and not all faculty members are equally engaging. There is also some scope for improvement in providing more hands-on exposure and updating certain topics more frequently to match current industry trends. the placement scenario at the college is fairly good. Several companies visit the campus for recruitment, and many students are able to secure jobs each year. The average package is decent for freshers, and the placement team puts in effort by organizing training sessions, mock interviews, and providing guidance throughout the process. However, the number of top-tier companies is somewhat limited, and higher salary packages are not very common. Additionally, not all students get equal opportunities, and some may need to rely on off-campus placements to secure better roles. the college offers a positive academic environment with supportive faculty, decent placements, and reasonable fees, making it a good option for students. Campus life is active and engaging, with regular events and a safe atmosphere. However, there is room for improvement in areas like infrastructure, consistency in teaching quality, better placement opportunities with higher packages, and more well-organized, inclusive activities.",Career360
"Tapasya College of Commerce and Management, Hyderabad",3.5,"This college is best for studys and enjoyment College infrastructure plays a vital role in creating a productive learning environment for students. A well-developed campus with modern facilities supports both academic and extracurricular activities. Teachers use different teaching methods such as lectures, presentations, group discussions, and practical demonstrations to make learning more interactive and understandable. Regular assignments, seminars, and internal assessments help students evaluate their progress The college encourages students to participate actively in placement training programs and improve their skills to increase their chances of getting placed. Overall, the placement support provided by the college helps students prepare for the job market and build a strong foundation for their careers. This college is best for studies and other all activities",Career360
"Miranda House, Delhi",3.4,"Top girl's college of DU. Infrastructure is very good and very maintained. Classrooms are clean and comfortable. The campus is beautiful, green, and peaceful. The library has good collection of history books and has good seating space for students. Academics at Miranda college are strong and focuses on deep understanding of history. The course includes a lot of reading, writing, and analysis of different historical perspective. Professors are knowledgeable and supportive, but you need to study regularly to keep up with the syllabus. Placement are decent but not very high for Arts students. Some students get roles in research , content writing, NGO ,or teaching. Many students go for higher education like PhD. Some of them go for UPSC or other competitive exams.",Career360
VIT AP,3.8,"The technical clubs are useful for use in placement so ,and there many club technical and non technical, and every year there conduct sports in our college with other colleges students,and there provide prize for winning colleges",Collegedunia
CSJMU,4.6,"There were 60 student in class and they have 1 faculty per 50 students Mr. Rakesh was my best faculty because they taught math and I love math .They taught me math in a very good understanding approach. The way he taught his subject , was very impressive . I dont like evs subject and Mr. Ramesh was taught that subject that's why I did not like. Actually there were 2 exams in a year which was half yearly examination and yearly . There were 60 students and 54 students were passed out of 60. Exam's level was moderate",Collegedunia
LNCT Bhopal,5.0,LNCTs interactive academic model is a milestone for the career perspective and it will help others also to find their wanted destinations. Basically LNCT group is much known in Madhya Pradesh (Bhopal). Bhopal itself is a very good city. LNCT is like sitting in the lap. Bhopal also known as city of Lakes. LNCT is very near to the lake. LNCT Bhopal campus is a historic campus of Bhopal which dates back to 1994.,Collegedunia
"VIT AP School of Business, Amaravati",3.7,"Review of VIT AP school of business Studying BBA at VIT AP School of Business is a pretty good experience. The infrastructure is actually impressive,classrooms have smart boards, campus is clean.College infrastructure feels like calm and natural place occupied with many trees. Academics are decent. The syllabus is updated and focuses on practical knowledge. Most of the faculty are supportive. I feel that ,like every other college it depends on faculty .Most of the sessions feels like questionnaire for practical experience. Placements are decent. Many students do get placed,companies visits regularly. But students still need to work on skills to get better placements.placements not only works on skills but also experience. There are more activities such as clubs,sports and etc which adds enthusiasm for students to feel energetic and fun.Overall,itÃ¢ÂÂs a good place to manage both studies as well as fun.",Career360
Vidyalankar School of Information Technology Mumbai,4.4,"The tution fees in my college is10000, fees also include an additional fees of library gymkhana and laboratory fees of rupees 4000 . Document verification and eligiblity fees is 1500. Development and utility fees is 1350 university annual contribution fee is 220 and enrollment fees is 220 these are the fees included in the total fees and the SC and ST students get compensatition in the fees and scholarship.Mya year wise total fee is 50000 including all.",Collegedunia
All India Institute of Medical Sciences New Delhi,4.0,"Best AIIMS College of India. Infrastructure is top class. Classrooms, labs, and hospital facilities are very advanced and well equipped. The hospital provides use patient exposure, which is very important for learning. Library and hostels are also very well maintained. Academics are extremely strong and very demanding. The course requires regular study, practical learning, and clinical exposure. Professors are highly experienced and teach in detail. The pressure is high, but you gain excellent medical knowledge and skills. There are no typical placements, but career opportunities are excellent. Student get top internships, PG seats, and job opportunities in India and abroad. The degree is very high value. Studying from AIIMS is the highest achievement one can ever have.",Career360
Mumbai Film Academy,5.0,"Yes Mumbai Film Academy provides Scholarship & loan facility to deserving students.On submission of all the required documents, along with the proof of admission, an Invitation letter from Mumbai Film Academy will be issued to the International student for Visa Application at the Indian embassy Immigration office located in their country. All the necessary relevant documents will have to be submitted in Original.",Collegedunia
Indian Institute of Technology Mandi,3.2,It is good or average Good infrastructure but not enough buildings and connectivity issue but available necessary equipment and facilities something wifi not works to connect laptop and mess facilities are decent not that good I would say need to improve food quality in mess I am studying maths and computing because this is my brach and it alloted according my rank . I genuinely don't like quality of teaching . They stick with curriculum that is made before they are not updating according to time Since my collage is iit so placements are good.90 lac to 1 cr is highest and 80 to 90% is placed. 15 to 20 lpa is ave for all branch .I didn't join placement process so I have no idea about that I think collage is supportive is this process I would say all thing are good,Career360
"Sherwood College of Professional Management, Lucknow",2.8,"It was Average. college Infrastructure was very basic. nothing fancy small classroom with No AC, Smart Boards, Nothing. No playground college was shared with Sherwood school kids no amenties , washroom were bad not cleaned, no canteen no wifi in college. only thing it does have was a library which was also not very useful I studeid BBA Management. because I have a Business oriented Mindset so I thought BBA in manegemnt will be good place to start. Quality of teaching was Ok No curriculum were updated I don't think what they teach make you job ready No companies come for placement it is just for studying No Placed Student from Campus. No college Was not very supportive. No knowledge about Placement and highest package. There were 500 student in my batch and none of them were placed",Career360
"Kashi Institute of Technology, Varanasi",3.8,Take admission to change your life. Our college infrastructure is well many facilities in our college so we enjoy in study.many different different department in our college so we collab with different course student to know their subject. Teachers in our college give guide to us how to concentrate on study make our future best for our to get high package in company make our life easy or luxurious get a better job to make all things good. Many company come in our college to give high package salary to our college student give a high incentives on their work so they get motivated towards work give job on their interest so they can make money.,Career360
"Tapasya College of Commerce and Management, Hyderabad",3.8,"Future will be bright if you choose Tapasya. Tapasya College has good infrastructure with clean classrooms, a library, computer labs, and basic facilities for students. The campus environment is decent and provides a comfortable place for studying and other activities. The academics are satisfactory. Most faculty members are supportive and try to explain concepts clearly. The curriculum is useful for gaining basic knowledge and helps students prepare for exams and future careers. Placements at Tapasya College are average but improving each year. Some companies visit the campus for recruitment, offering opportunities mainly for entry-level positions. The college also provides basic placement support such as guidance, training sessions, and interview preparation. However, students who develop additional skills, certifications, and practical knowledge have better chances of getting good job opportunities. Overall, placements are decent, but students should actively work on their skills to secure better career options. Tapasya College is a decent option for students who want a good learning environment at an affordable cost. With supportive faculty, acceptable facilities, and a positive campus atmosphere, students can build a good academic foundation and college experience here.",Career360
NSUT,3.6,"You will get some opportunities in the 3rd year for internship but it is relatively hard to get an internship in 3rd year , in the final year placements max companies come for intern + ppo and intern + fte so there is max chance that you will get an internship before your degree I got an internship at tech swarm industry as a full stack developer and the founder was nsut alumini",Collegedunia
"Government Holkar Science College, Indore",3.6,Good placement in Pharma companies and teachers are best They have improve the lord now they are having good internet connection in college as well as buildings are also newly made with new furnitures and smart boards and now they have more shifted towards digital things so it's best Teachers are really great in teaching having depth knowledge of subject as well as great experience and mostly teachers are PhD holders with good research and development knowledge and fees is also very low as compared to different colleges They are providing good placement in quality control and quality analyst profile in different pharmaceutical companies and with a pack is starting from 3 lakh rupees mostly in Indore location which is a good start for science student,Career360
St George College of Management Science and Nursing Bangalore,5.0,"Campus life is enjoyable and offers a good balance between academics and social activities. The college conducts annual cultural and technical fests every year, usually held between February and April, which help students showcase their talents and interact with peers. The library has a decent collection of academic books, journals, and digital resources that are easily accessible to students. Classrooms are equipped with basic technological facilities like projectors and computer labs for practical learning. Sports and extracurricular activities such as indoor games, cultural events, and competitions are regularly encouraged. Student clubs and groups organize events and activities, making campus life more interactive and helping students build confidence and teamwork skills.",Collegedunia
"Sanjeev Agrawal Global Educational University, Bhopal",3.6,"Overall experience is good for academics and exposure. The University campus is spread over 75 acres of land. Green spacious campus with modern buildings and open area. Didi includes agriculture land and polyhouses for practical learning. 50 + smart classrooms. 50 + classrooms with digital boards and projectors. Spacious air condition lecture halls with modern teaching tools. Well- equipped modern labs engineering pharmacy it etc. Apple apps ,computer labs and research facilities available. Placement are average to good for a private University. Focus is more on mass recruiter plus skill based hiring. Strong placement support via training aptitude classes and interview preparation. Highest package 7 LPA to 8 LPA",Career360
"Vidyavardhaka College of Engineering, Mysore",3.4,You come and visit the college and make your decision College infrastructure is good but there is no space for sports there are new buildings but no space but mechanical department is very good you can join only for mechanical not for other branches. In mechanical department teacher Sir good Academic are very good there in too very in mechanical department there in to industrial visit and many other things but in other department teachers lac the academic large mechanical department has very good number index but compared to other departments mechanical is best I don't know about placements but has the senior opinion that are very good placements for mechanical department compared to other departments every year Mechanical department has the highest package and placements,Career360
"Mes's Garware College of Commerce, Pune",3.5,"Good college for BBA Degree Garware College has great facilities including a fantastic level of cleanliness and upkeep at the BBA college campus building. Every classroom in the BBA building at Garware College was also very spacious and the BBA building contains many essential digital features such as projector screens and digital devices. I did as most student do BBA. The teachers at Garware College have the necessary credentials and expertise to teach and provide quality instruction for their students. They also provide students with numerous opportunities to gain additional knowledge through a variety of different types of lectures and student exposure activities. Faculty members tend to be accommodating towards their students. Additionally, the overall quality of the curriculum is very good. Because Garware College is an autonomous institution, the college has its own planned ccurriculum The placement at Garware College isn't exceptional, the overall quality is still good. There is a lot more emphasis on internships than on full-time employment opportunities. The individual placement cells run by each teacher tend to focus on finance, but some placements for students interested in marketing do exist.",Career360
"Mahakal Institute of Technology, Ujjain",3.5,"Needs Improvement in Academics & Placements Yes my college have all the necessary infrastructure, facilities and equipment but they are not properly worked. Yes all facilities I have in my college. The hygiene is maintained by collage stuff. I think if you want a perfect mountain vibe with no view of any city look then choice and bunk daily. I am studying for improve and learning skills and for placement but I think there is no future.The academic environment of this college is below average. The teaching quality is not very strong, and in many subjects, teachers focus only on completing the syllabus rather than explaining concepts properly. There is a clear lack of practical knowledge, and lab sessions are not very effective. Students often have to rely on self-study to truly understand the subjects. Study materials and notes provided are limited or sometimes outdated. The overall academic management feels disorganized, with inconsistency in class schedules and timetables. While some faculty members are approachable, not all are equally helpful or supportive. There is a strong need for improvement in teaching methods and practical exposure. For serious learning, students have to depend more on themselves. Because of these reasons, I would rate this college 2 stars for academics.Placement opportunities in this college are quite limited and below expectations. Only a few companies visit the campus, and most of them offer low salary packages. There is a lack of proper training and guidance for students regarding interviews, aptitude tests, and skill development. The placement cell is not very active, and communication about opportunities is often unclear or delayed. Many students struggle to get placed and have to search for jobs on their own. Overall, the college needs significant improvement in building strong industry connections and providing better placement support. Due to these reasons, I would rate the placement support 2 stars. Placement opportunities in this college are quite limited and below expectations. Only a few companies visit the campus, and most of them offer low salary packages. There is a lack of proper training and guidance for students regarding interviews, aptitude tests, and skill development. The placement cell is not very active, and communication about opportunities is often unclear or delayed. Many students struggle to get placed and have to search for jobs on their own. Overall, the college needs significant improvement in building strong industry connections and providing better placement support. Due to these reasons, I would rate the placement support 2 stars. Nothing I think if you have money then choice a best collage.",Career360
